id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,hull_distance
5619803,66.4,65,0.0,78,2.94024336254365,
4267580,66.8,65,0.0,80,2.96270224385717,
4203176,63.6,65,0.0,74,3.08255934214625,
4265083,67.2,65,0.0,74,3.08186854727728,
6752138,66.0,65,0.0,74,2.91916296919111,
5902371,64.0,65,5.6,74,3.1072224164286,
3264017,66.8,65,0.0,74,2.98562840425146,
7804269,65.6,65,0.0,74,2.94220240530233,
2819470,68.0,65,0.0,74,2.98761211077208,
3892147,64.8,65,0.0,74,3.03610897621537,
5718692,64.6,65,0.0,79,3.08075724436164,
9317254,68.2,65,0.0,79,3.09020807131309,
8463201,67.0,65,0.0,79,2.9377533531613,
9450781,65.0,65,5.6,79,3.08615522700914,
9840216,61.4,65,5.6,73,3.17553067393553,
3821574,63.6,65,5.6,84,3.21379332548432,
2361549,63.0,65,8.4,81,3.11268121428558,
3056417,63.4,65,5.6,83,3.18185250504839,
5308146,64.4,65,5.6,88,3.12128689779675,
1260374,60.8,65,5.6,72,3.15361180310376,
8496023,61.6,65,5.6,74,3.16392766179004,
6851203,62.6,65,5.6,79,3.13259329087417,
6283704,61.8,65,5.6,75,3.13640086098767,
9425807,62.4,65,5.6,78,3.11823452298567,
1365094,62.8,65,5.6,80,3.1351149058494,
2943061,62.0,65,8.4,76,3.11286373462678,
3149850,60.6,65,5.6,72,3.15315488725483,
5732806,63.8,65,0.0,75,3.02566229350333,
2078916,67.4,65,0.0,75,3.10265897207492,
6902314,66.2,65,0.0,75,2.96756525977758,
9765234,64.2,65,5.6,75,3.03230198935484,
4987650,67.0,65,0.0,75,3.02118549799904,
6319528,65.8,65,0.0,75,2.94620988987702,
9720165,68.2,65,0.0,75,2.92175163921047,
9518437,65.0,65,0.0,75,2.9700512532883,
9467830,64.2,65,0.0,73,2.892938,
1895642,66.4,65,0.0,84,2.91298551196286,
4750928,65.8,65,2.8,81,2.97902099398732,
5140362,66.2,65,0.0,83,2.94799541030822,
7932580,67.2,65,0.0,88,2.93415172636782,
8605217,63.6,65,0.0,72,2.87977060117607,
8653417,64.4,65,0.0,74,2.89587570784648,
8290476,65.4,65,0.0,79,2.97158324851425,
2384019,64.6,65,0.0,75,2.88907368333961,
6930741,65.2,65,0.0,78,2.98760527441587,
4867502,65.6,65,0.0,80,2.94426261856755,
9157643,64.8,65,2.8,76,2.91091000843421,
9607438,63.4,65,0.0,72,2.89207907225488,
4528069,62.2,65,0.0,73,3.13806744355386,
1790246,64.4,65,0.0,84,3.15904952149468,
8410523,63.8,65,2.8,81,3.04880782107824,
3014689,64.2,65,0.0,83,3.11611197371193,
7348562,65.2,65,0.0,88,3.04807339587576,
6423907,61.6,65,0.0,72,3.08399584918774,
1932047,62.4,65,0.0,74,3.13787009637571,
9603748,63.4,65,0.0,79,3.12172573977982,
3469512,62.6,65,0.0,75,3.03766307339841,
2694380,63.2,65,0.0,78,3.1725689692159,
5648371,63.6,65,0.0,80,3.04586581483968,
5294037,62.8,65,2.8,76,3.04974930925551,
5160827,61.4,65,0.0,72,3.07887069874371,
4637091,70.0,65,0.0,84,3.00064268321028,
3740286,69.4,65,2.8,81,3.05283424907436,
5146839,69.8,65,0.0,83,3.05251140526184,
4768210,70.8,65,0.0,88,3.11720793796411,
2043178,69.0,65,0.0,79,3.01571454867458,
1487932,69.2,65,0.0,80,3.02281493758441,
3215784,47.8,65,0.0,73,3.17192432609778,
8315042,50.0,65,0.0,84,3.11801769016852,
3627410,49.4,65,2.8,81,3.14633174810822,
1743698,49.8,65,0.0,83,3.22580808073177,
4127693,50.8,65,0.0,88,3.16640485724968,
9354761,47.2,65,0.0,72,3.15671284081294,
8927605,48.0,65,0.0,74,3.15646240628787,
4327501,49.0,65,0.0,79,3.18303321842763,
7985463,48.2,65,0.0,75,3.22372459206992,
9182473,48.8,65,0.0,78,3.1595195258916,
5891230,49.2,65,0.0,80,3.23970666308272,
4960875,48.4,65,2.8,76,3.10619443870927,
1804532,47.0,65,0.0,72,3.15756859721586,
3250478,64.4,65,0.0,78,3.06888883058863,
2081546,68.0,65,0.0,78,3.03861111697859,
9546732,66.8,65,0.0,78,2.96037992298991,
9180765,64.8,65,5.6,78,3.06967808317773,
8512390,68.8,65,0.0,78,2.9610985540118,
4693502,65.6,65,0.0,78,3.01775519944448,
5831672,64.8,65,0.0,80,3.03743878015135,
7483150,68.4,65,0.0,80,3.06439072383707,
6807539,67.2,65,0.0,80,2.95781712894043,
2498173,65.2,65,5.6,80,3.03758969409779,
5814072,62.6,65,5.6,73,3.08974610914309,
4352098,64.8,65,5.6,84,3.13782033637664,
4306815,64.2,65,8.4,81,3.02216153157171,
6025847,64.6,65,5.6,83,3.10094215657419,
6083594,65.6,65,5.6,88,3.02198316560043,
5372069,62.0,65,5.6,72,3.02355653261222,
3514269,62.8,65,5.6,74,3.10155739835963,
3204167,63.8,65,5.6,79,3.11052994244192,
2869347,63.0,65,5.6,75,3.04070788522468,
1705239,63.6,65,5.6,78,3.15132944862996,
7160483,64.0,65,5.6,80,3.02111235659981,
9518642,63.2,65,8.4,76,3.01959216742056,
1320567,61.8,65,5.6,72,3.05178610001566,
4063285,66.8,65,0.0,84,3.02435749428063,
9583261,66.2,65,2.8,81,3.03703270366884,
3061874,66.6,65,0.0,83,2.98718745164788,
8643509,67.6,65,0.0,88,2.97674474604591,
9267581,65.8,65,0.0,79,2.9991846056054,
6315928,66.0,65,0.0,80,3.00890893949842,
3741296,60.6,65,0.0,73,3.05310483649765,
4328571,62.8,65,0.0,84,3.11612437337534,
4935860,62.2,65,2.8,81,3.04690929691645,
5062718,62.6,65,0.0,83,3.09007746024155,
6135948,63.6,65,0.0,88,3.06326062318787,
1340285,60.0,65,0.0,72,3.0553004291131,
9731406,60.8,65,0.0,74,3.04558737228839,
9084235,61.8,65,0.0,79,3.03075917346377,
4309715,61.0,65,0.0,75,3.0778355101015,
2568307,61.6,65,0.0,78,3.01768487411264,
1098653,62.0,65,0.0,80,3.04407998169055,
2643098,61.2,65,2.8,76,3.04285134858965,
6594182,59.8,65,0.0,72,3.03501158581462,
5714096,64.0,65,2.8,76,3.03928043249833,
4857263,67.6,65,2.8,76,3.0824989689726,
5738926,66.4,65,2.8,76,2.97259759506919,
7190582,64.4,65,8.4,76,3.03378695508775,
2317805,67.2,65,2.8,76,2.97365134882352,
1069425,63.6,65,2.8,76,2.94470711981451,
9576032,66.0,65,2.8,76,2.94054971974053,
7369148,68.4,65,2.8,76,3.02341850088118,
5178439,65.2,65,2.8,76,2.98904110810325,
5123968,62.4,65,2.8,76,2.96254297717166,
1302765,64.0,65,0.0,84,3.04309202321776,
3296450,63.4,65,2.8,81,2.98600483973482,
9381746,63.8,65,0.0,83,3.00385720571173,
5683192,64.8,65,0.0,88,2.98405628535468,
2158347,61.2,65,0.0,72,3.01310906342495,
3015264,62.0,65,0.0,74,3.01072954455492,
6530821,63.0,65,0.0,79,3.05232768733164,
8521307,62.2,65,0.0,75,3.00750782216411,
9461730,62.8,65,0.0,78,3.01270472723442,
6543129,63.2,65,0.0,80,2.98475243019327,
7130825,61.0,65,0.0,72,2.97672806725514,
6091584,48.2,65,0.0,73,3.31219908652734,
5894621,50.4,65,0.0,84,3.18550221807782,
3578406,49.8,65,2.8,81,3.22071784212672,
9317528,50.2,65,0.0,83,3.13204939824332,
5762910,51.2,65,0.0,88,3.24748515004714,
3280951,47.6,65,0.0,72,3.21065459210896,
2045968,48.4,65,0.0,74,3.15023159267843,
8317509,49.4,65,0.0,79,3.21212944201481,
5469827,48.6,65,0.0,75,3.17726545533044,
6748193,49.2,65,0.0,78,3.26725846357124,
4807153,49.6,65,0.0,80,3.24594002770378,
9501276,48.8,65,2.8,76,3.18464215711185,
7254913,47.4,65,0.0,72,3.18955374643003,
7918026,62.6,65,0.0,72,3.07767546271429,
3645207,66.2,65,0.0,72,3.10137636883401,
2941375,65.0,65,0.0,72,2.9719438476493,
2645180,63.0,65,5.6,72,3.09743693933893,
8597263,65.8,65,0.0,72,2.97032810153519,
4932856,62.2,65,0.0,72,2.92567865049815,
2739650,64.6,65,0.0,72,2.90483594998772,
4165972,67.0,65,0.0,72,2.97613060655411,
6138297,63.8,65,0.0,72,3.03976834818449,
9084715,61.0,65,0.0,73,3.20383134194624,
2845369,63.2,65,0.0,84,3.24167546678765,
5170386,62.6,65,2.8,81,3.13417931783917,
2514308,63.0,65,0.0,83,3.20504964043247,
5267094,64.0,65,0.0,88,3.14774332071505,
6278590,60.4,65,0.0,72,3.1775147537252,
5187042,61.2,65,0.0,74,3.18819202489387,
3786905,62.2,65,0.0,79,3.14882746961109,
6342708,61.4,65,0.0,75,3.17675724622166,
8613947,62.0,65,0.0,78,3.14048568477386,
3612974,62.4,65,0.0,80,3.14992273934197,
1694783,61.6,65,2.8,76,3.12083337409154,
6271834,60.2,65,0.0,72,3.17886919837993,
34072651,63.4,187,0.0,73,3.04639922651153,
95063127,67.0,187,0.0,73,3.15911337942548,
62945318,65.8,187,0.0,73,3.05181921675362,
60897513,63.8,187,5.6,73,3.02631525254443,
17042638,66.6,187,0.0,73,2.99249165001267,
87904612,63.0,187,0.0,73,2.92799029789199,
78510264,65.4,187,0.0,73,2.91552750239097,
23045176,67.8,187,0.0,73,3.07950427662283,
71453068,64.6,187,0.0,73,2.99366314420102,
45628709,61.8,187,0.0,73,2.96537618081792,
43972106,69.2,187,0.0,84,3.20404882141064,
54879302,68.0,187,0.0,84,3.13761790876403,
34681702,66.0,187,5.6,84,3.17168904013127,
61784935,65.6,187,0.0,84,3.16894604602603,
67409258,65.0,187,2.8,81,3.19364629690478,
68427591,65.4,187,0.0,83,3.14575367870703,
14387690,66.4,187,0.0,88,3.17113351367325,
89604375,65.4,187,8.4,81,3.22129992854158,
71305486,69.0,187,0.0,83,3.18745546737271,
18325407,67.8,187,0.0,83,3.1567454157594,
19483527,65.8,187,5.6,83,3.15109133872286,
67435291,68.6,187,2.8,81,3.23048034248229,
51763480,70.0,187,0.0,88,3.22050058244454,
30975426,67.4,187,2.8,81,3.19924011808684,
71403958,68.8,187,0.0,88,3.16318914892971,
35897402,66.8,187,5.6,88,3.1819107556602,
27156309,62.8,187,0.0,72,3.0927398396525,
39186520,66.4,187,0.0,72,3.15051052114304,
19436725,65.2,187,0.0,72,3.0685526858703,
10693257,63.2,187,5.6,72,3.08747544468063,
56124780,66.0,187,0.0,72,2.99570854745876,
25976038,64.8,187,0.0,72,2.96454126857962,
59387142,67.2,187,0.0,72,3.09376744724317,
87563140,64.0,187,0.0,72,3.0300951750203,
50987241,68.8,187,0.0,84,3.0640909696148,
34012568,68.2,187,2.8,81,3.10341404116554,
13085762,68.6,187,0.0,83,3.1087129785233,
12904576,69.6,187,0.0,88,3.09031314306615,
24035867,67.8,187,0.0,79,3.05932357964132,
40326571,67.6,187,0.0,78,3.04308777039226,
16504783,68.0,187,0.0,80,3.12397614917136,
58029641,65.2,187,0.0,84,3.02853988995604,
67198240,64.6,187,2.8,81,3.10257459740068,
82769514,65.0,187,0.0,83,3.01055532229068,
57043269,66.0,187,0.0,88,3.04183788739339,
50129364,62.4,187,0.0,72,2.97300611945976,
25986740,63.2,187,0.0,74,2.94153246652403,
34105672,64.2,187,0.0,79,2.98889172694049,
78691503,63.4,187,0.0,75,3.01938308972373,
37419068,64.0,187,0.0,78,2.9616310270575,
32714856,64.4,187,0.0,80,3.04903559884225,
83429561,67.6,187,0.0,84,3.02609167381977,
69538402,67.0,187,2.8,81,3.09026206491358,
71465098,67.4,187,0.0,83,3.0469656769039,
94715302,68.4,187,0.0,88,3.05098249655379,
32468591,66.6,187,0.0,79,2.98002527672898,
98016472,66.4,187,0.0,78,2.9454626616162,
10857693,66.8,187,0.0,80,3.05607170459351,
16958274,63.6,187,0.0,74,3.08320980188852,
