id,ElementProperty|MagpieData mean MendeleevNumber,GlobalSymmetryFeatures|spacegroup_num,ValenceOrbital|avg f valence electrons,ElementProperty|MagpieData maximum MendeleevNumber,LatticeConstants|a,ElementProperty|MagpieData range NsValence,ElementProperty|MagpieData maximum NdValence,AtomicOrbitals|gap_AO,YangSolidSolution|Yang delta,ElementProperty|MagpieData mode NUnfilled,LatticeConstants|c,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac s valence electrons,AtomicOrbitals|LUMO_element,ElementProperty|MagpieData range NUnfilled,hull_distance
3891520,63.2,65,5.6,72,3.04139961154222,0,10,0.0,0.230543921141055,5,13.7350325464266,6,0.172413793103448,74,6,
2836405,66.0,65,0.0,72,2.96830954101235,0,10,0.0,0.223945679042768,3,12.2312477920567,5,0.277777777777778,27,5,
6491783,64.8,65,0.0,72,2.90115507190786,0,10,0.090821,0.223945679042768,4,12.5532492910367,5,0.294117647058823,48,5,
2931756,67.2,65,0.0,72,2.99889008361627,0,10,0.006536,0.22431623524546,2,12.1866321709594,5,0.263157894736842,48,5,
6982735,64.0,65,0.0,72,2.97811620769183,0,10,0.0,0.231522992329165,5,13.4789211048486,5,0.3125,43,5,
2018563,68.8,65,0.0,84,2.99039032882964,0,10,0.0,0.15612386257877,3,12.3781168783892,5,0.256410256410256,27,2,
6175483,68.2,65,2.8,81,3.004659394949,0,10,0.0,0.263891812849298,3,13.8999180773224,5,0.192307692307692,27,2,
1923504,68.6,65,0.0,83,3.03404979958591,0,7,0.0,0.157618547511842,3,10.0151074513765,5,0.344827586206897,15,2,
5197243,69.6,65,0.0,88,2.98826751637705,0,7,0.0,0.156956739165573,3,10.9280947497906,5,0.333333333333333,16,3,
3582067,67.8,65,0.0,79,3.00357821356922,0,10,0.0,0.155709800070948,3,11.2793419904631,5,0.263157894736842,27,2,
6039182,67.6,65,0.0,78,3.00187682234424,0,7,0.0,0.154906931004829,3,10.442982266571,5,0.357142857142857,27,2,
7803256,68.0,65,0.0,80,2.99826370385079,0,10,0.0,0.21943403815018,3,13.06022390481,5,0.263157894736842,27,2,
7521463,65.2,65,0.0,84,2.97788684636573,1,10,0.0,0.171830132537853,5,11.0017463018206,6,0.242424242424242,5,3,
9257083,64.6,65,2.8,81,2.9667588532642,1,10,0.0,0.262909117334157,5,14.2475422899081,6,0.173913043478261,5,2,
7905641,65.0,65,0.0,83,2.93302853208317,1,5,0.0,0.17649185829694,5,10.4263166427995,6,0.347826086956522,5,3,
9321840,66.0,65,0.0,88,2.90764598438589,1,5,0.0,0.17565566424556,5,11.0349107729768,6,0.333333333333333,5,4,
2760143,62.4,65,0.0,72,2.93859750856148,1,10,0.0,0.226472471692405,5,12.4950206027581,6,0.266666666666667,5,6,
9618250,63.2,65,0.0,74,2.93819800997277,1,10,0.0,0.186658751975725,5,11.0123591163097,6,0.258064516129032,5,1,
9138254,64.2,65,0.0,79,2.96497767534081,1,10,0.0,0.171719548408983,5,10.8350534127276,6,0.25,5,2,
7243896,63.4,65,0.0,75,2.93390067685736,1,10,0.0,0.222451146254414,5,12.6465416364268,6,0.258064516129032,5,1,
4165230,64.0,65,0.0,78,2.92476597978901,1,5,0.0,0.172044228070584,5,10.4367496791197,6,0.363636363636364,5,2,
3041965,64.4,65,0.0,80,2.94700006120261,1,10,0.0,0.222451146254414,5,12.3760974387263,6,0.25,5,2,
7063891,67.6,65,0.0,84,2.95633912667859,0,10,0.0,0.15612386257877,4,12.2106859289915,5,0.27027027027027,26,2,
9328467,67.0,65,2.8,81,2.96010703503863,0,10,0.097071,0.263891812849298,4,14.0136128499604,5,0.2,26,1,
5196087,67.4,65,0.0,83,2.97951800482485,0,6,0.0,0.157618547511842,4,10.3590506650542,5,0.37037037037037,15,2,
2673845,68.4,65,0.0,88,2.94316708422607,0,6,0.0,0.156956739165573,4,11.1389917962868,5,0.357142857142857,16,3,
8054917,66.6,65,0.0,79,2.95758091040851,0,10,0.097071,0.155709800070948,4,11.1966934930158,5,0.277777777777778,26,1,
5619803,66.4,65,0.0,78,2.94024336254365,0,6,0.097071,0.154906931004829,4,10.5493645571612,5,0.384615384615385,26,1,
4267580,66.8,65,0.0,80,2.96270224385717,0,10,0.097071,0.21943403815018,4,12.9624061189748,5,0.277777777777778,26,1,
4203176,63.6,65,0.0,74,3.08255934214625,1,10,0.0,0.20609831249986,5,11.5156667074649,6,0.258064516129032,42,1,
4265083,67.2,65,0.0,74,3.08186854727728,1,10,0.0,0.190716824855805,3,12.908396097254,5,0.216216216216216,45,2,
6752138,66.0,65,0.0,74,2.91916296919111,1,10,0.0,0.194942090256101,4,13.2732208551677,5,0.228571428571429,44,1,
5902371,64.0,65,5.6,74,3.1072224164286,0,10,0.0,0.197110518441763,5,11.5527066959848,6,0.169491525423729,74,1,
