id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,hull_distance
9840216,73,3,-1.62478006942316,2,7.2,0.253730382469685,0.0,61.4,0.341126255755271,3,
3821574,84,3,-1.72631763329385,2,6.72,0.259209876971558,0.0,63.6,0.300460046240876,5,
2361549,81,3,-1.74944620303622,2,8.8,0.280519703259021,0.0,63.0,0.452063797847005,4,
3056417,83,3,-1.72789851289765,2,6.88,0.272831172793036,0.0,63.4,0.220702708597307,5,
5308146,88,3,-1.7854732545955,2,6.72,0.271520914645437,0.0,64.4,17710239.677437,6,
1260374,72,3,-1.6406152677078,2,6.24,0.262954625331178,0.0,60.8,0.409224254507669,8,
8496023,74,3,-1.6632790711116,2,6.4,0.252497249948616,0.0,61.6,0.342975586253305,3,
6851203,79,3,-1.69851199947804,2,6.56,0.259993958960147,0.0,62.6,0.302303529599457,4,
6283704,75,3,-1.65772851656688,2,6.4,0.261365561965106,0.0,61.8,0.420995330402342,3,
9425807,78,3,-1.67950046369946,2,7.04,0.263570544455797,0.0,62.4,0.280103863571402,4,
1365094,80,3,-1.68997633111233,2,6.56,0.261365561965106,0.0,62.8,0.375733655838061,4,
2943061,76,3,-1.62679343380494,2,8.64,0.278121511168405,0.0,62.0,0.486022012689706,3,
3149850,72,3,-1.63277445340851,2,6.24,0.253441304432607,0.0,60.6,0.37508334411715,8,
5732806,75,3,-2.03103575014608,1,2.72,0.23160277792655,0.0,63.8,3.52041495135116,1,
2078916,75,1,-2.07543915694274,1,3.52,0.224103641018935,0.0,67.4,1.31555668131475,2,
6902314,75,3,-2.04599769338084,1,3.2,0.225986928334126,0.0,66.2,2.83393363277673,1,
9765234,75,3,-2.10426711710957,2,7.04,0.227010205999232,0.0,64.2,11.4344495319601,1,
4987650,75,1,-1.92131780377911,2,3.52,0.21943403815018,0.0,67.0,2.06436953577877,2,
6319528,75,1,-1.90071281716643,2,3.2,0.21943403815018,0.0,65.8,3.19679462735207,1,
9720165,75,1,-1.93352331962289,2,3.84,0.21990216824065,0.0,68.2,1.68007032175285,3,
9518437,75,3,-1.92946767820646,2,2.88,0.228085323342676,0.0,65.0,2.60657981032518,0,
9467830,73,3,-1.74321085435781,2,1.92,0.200159611154652,0.0,64.2,0.572431978799407,0,
1895642,84,3,-1.85214952660979,2,3.2,0.178187175712809,0.0,66.4,0.569057571948847,2,
4750928,81,3,-1.87696394585299,2,7.36,0.262937277792971,0.0,65.8,1.69211997174352,1,
5140362,83,3,-1.85384563707831,2,1.6,0.18391049142992,0.0,66.2,0.364745776420898,2,
7932580,88,3,-1.91561702174341,2,1.76,0.183016696114988,0.0048639999999999,67.2,14247604.3194207,3,
8605217,72,3,-1.76020028575852,2,2.72,0.2279288267092,0.0,63.6,0.931677788331788,5,
8653417,74,3,-1.78451606168292,2,2.88,0.190716824855805,0.0,64.4,0.620498004320115,0,
8290476,79,3,-1.82231713046449,2,3.04,0.178179966487409,0.0,65.4,0.510785035071789,1,
2384019,75,3,-1.77856092528499,2,2.88,0.224103641018935,0.0,64.6,1.04071274696066,0,
6930741,78,3,-1.80191983722406,2,1.76,0.178885438199983,0.0,65.2,0.419857122622944,1,
4867502,80,3,-1.81315929425988,2,3.04,0.224103641018935,0.0,65.6,0.852143004265481,1,
9157643,76,3,-1.74537097357034,2,7.04,0.258645214868096,0.0,64.8,1.75222376839251,0,
9607438,72,3,-1.75178795177514,2,2.72,0.198687728150178,0.0,63.4,0.699877769878881,5,
4528069,73,2,-1.76548989122387,1,0.96,0.220794403122398,0.0,62.2,0.484187497210521,2,
