id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData mean NUnfilled,ValenceOrbital|frac p valence electrons,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData maximum NUnfilled,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData mean Electronegativity,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData minimum NUnfilled,ElementProperty|MagpieData mean NValence,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
3891520,72,3,-2.08254411091091,2,6.88,0.230543921141055,0.0,63.2,4.34426629379436,6,0.67,100.3426,3.6,21,0.482758620689655,127.2,2.36,0.172413793103448,0.2096,4.4,0.0344827586206896,20,6,0.310344827586207,2.098,1.69,0,11.6,9.76,1.76,
2836405,72,1,-1.90148344044105,2,3.36,0.223945679042768,0.0,66.0,1.6683469942021,5,0.35,50.379878,4.8,14,0.0,112.8,2.04,0.277777777777778,0.1072,3.2,0.0555555555555555,12,5,0.666666666666667,1.906,1.69,0,7.2,6.4,1.44,
6491783,72,3,-1.88109116553606,2,3.04,0.223945679042768,0.090821,64.8,2.220612859965,5,0.35,49.1446,4.4,17,0.0,115.2,2.04,0.294117647058823,0.1232,3.6,0.0588235294117647,12,5,0.647058823529412,1.886,1.69,0,6.8,7.84,1.44,
2931756,72,1,-1.91356295493539,2,3.68,0.22431623524546,0.006536,67.2,1.45283431872815,5,0.35,50.28396,5.2,11,0.0,112.0,2.04,0.263157894736842,0.0976,2.8,0.0526315789473684,12,5,0.684210526315789,1.918,1.69,0,7.6,4.96,1.76,
6982735,72,3,-1.90954918117108,2,2.72,0.231522992329165,0.0,64.0,2.06073109354732,5,0.35,66.0066,4.0,19,0.0,121.2,2.04,0.3125,0.1008,4.0,0.0625,12,5,0.625,1.914,1.69,0,6.4,8.8,1.6,
2018563,84,1,-2.00081302256555,2,3.84,0.15612386257877,0.0,68.8,0.912495443200985,2,0.3,42.881998,4.8,26,0.0,107.8,2.18,0.256410256410256,0.0992000000000001,3.8,0.128205128205128,15,5,0.615384615384615,2.004,1.88,3,7.8,8.64,0.96,
6175483,81,1,-2.02761918073793,2,7.04,0.263891812849298,0.0,68.2,48.4170904406781,2,0.45,69.337678,4.8,23,0.269230769230769,113.2,2.33,0.192307692307692,0.1232,4.0,0.0769230769230769,28,5,0.461538461538462,2.034,1.88,3,10.4,8.16,0.8,
1923504,83,2,-2.00264527199485,2,2.56,0.157618547511842,0.0,68.6,0.564627592175083,2,0.31,34.0924304,2.8,25,0.0,105.4,2.19,0.344827586206897,0.1008,3.8,0.172413793103448,9,5,0.482758620689655,2.006,1.88,3,5.8,8.48,0.96,
5197243,88,2,-2.0693747606696,2,2.4,0.156956739165573,0.0,69.6,15121156.7045738,3,0.7,34.310678,2.8,30,0.0,105.0,2.58,0.333333333333333,0.1984,3.6,0.2,9,5,0.466666666666667,2.084,1.88,2,6.0,9.28,1.12,
3582067,79,1,-1.96858611764006,2,3.68,0.155709800070947,0.0,67.8,0.739503065292786,2,0.16,42.425678,4.8,21,0.0,108.0,2.04,0.263157894736842,0.072,4.0,0.105263157894737,14,5,0.631578947368421,1.97,1.88,3,7.6,7.84,0.8,
6039182,78,1,-1.94655162779233,2,2.72,0.154906931004829,0.0,67.6,0.543722772862253,2,0.16,33.514778,2.8,20,0.0,106.2,2.04,0.357142857142857,0.0736,4.0,0.142857142857143,9,5,0.5,1.948,1.88,3,5.6,7.68,0.8,
7803256,80,1,-1.95869322418115,2,3.68,0.21943403815018,0.0,68.0,1.59644768098912,2,0.16,51.639678,4.8,22,0.0,111.8,2.04,0.263157894736842,0.0640000000000001,4.0,0.105263157894737,14,5,0.631578947368421,1.96,1.88,3,7.6,8.0,0.8,
7521463,84,2,-1.90364779844506,1,3.36,0.171830132537853,0.0,65.2,0.783332493686241,3,0.52,40.10716,4.0,35,0.0,113.0,2.18,0.242424242424242,0.2048,5.0,0.151515151515151,15,6,0.606060606060606,1.916,1.66,3,6.6,12.96,0.8,
9257083,81,2,-1.92915217262401,1,7.52,0.262909117334157,0.0,64.6,13.2334881682865,2,0.67,66.56284,4.0,32,0.304347826086956,118.4,2.33,0.173913043478261,0.2288,5.2,0.0869565217391304,28,6,0.434782608695652,1.946,1.66,4,9.2,12.48,0.64,
7905641,83,2,-1.90539106858223,1,1.28,0.17649185829694,0.0,65.0,0.462891462909908,3,0.53,31.3175924,2.0,34,0.0,110.6,2.19,0.347826086956522,0.2064,5.0,0.217391304347826,6,6,0.434782608695652,1.918,1.66,3,4.6,12.8,0.8,
9321840,88,2,-1.96887998172623,1,1.44,0.17565566424556,0.0,66.0,16566552.6189635,4,0.92,31.53584,2.0,39,0.0,110.2,2.58,0.333333333333333,0.2688,4.8,0.25,6,6,0.416666666666667,1.996,1.66,2,4.8,13.6,1.12,
2760143,72,2,-1.80914194597449,1,2.4,0.226472471692405,0.0,62.4,1.65309140826027,6,0.38,47.60504,4.0,23,0.0,118.0,2.04,0.266666666666667,0.1776,4.4,0.0666666666666666,12,6,0.666666666666667,1.818,1.66,0,6.0,10.72,1.76,
9618250,74,2,-1.83413381225793,1,2.72,0.186658751975725,0.0,63.2,0.900036346364901,1,0.38,39.06744,4.0,25,0.0,113.6,2.04,0.258064516129032,0.1584,5.4,0.0967741935483871,13,6,0.645161290322581,1.842,1.66,5,6.2,11.36,0.48,
9138254,79,2,-1.8729859245367,1,3.04,0.171719548408983,0.0,64.2,0.694840454357567,2,0.38,39.65084,4.0,30,0.0,113.2,2.04,0.25,0.1776,5.2,0.125,14,6,0.625,1.882,1.66,4,6.4,12.16,0.64,
