id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,hull_distance
2673845,88,2,-2.04718195156934,2,2.08,
8054917,79,3,-1.94747420657564,2,3.36,
5619803,78,3,-1.92567602347916,2,2.24,
4267580,80,3,-1.93768740849402,2,3.36,
4203176,74,3,-2.03783624528193,1,2.72,
4265083,74,1,-2.0823883275275,1,3.52,
6752138,74,3,-2.05284828543013,1,3.2,
5902371,74,3,-2.11131281204299,2,7.04,
3264017,74,1,-1.92775093149636,2,3.52,
7804269,74,3,-1.90707695342885,2,3.2,
2819470,74,1,-1.93999731493744,2,3.84,
3892147,74,3,-1.93592809406052,2,2.88,
5718692,79,3,-2.08100334796456,1,3.04,
9317254,79,1,-2.12649916860593,1,3.68,
8463201,79,3,-2.09633338534147,1,3.36,
9450781,79,3,-2.1560363550478,2,7.2,
9840216,73,3,-1.62478006942316,2,7.2,
3821574,84,3,-1.72631763329385,2,6.72,
2361549,81,3,-1.74944620303622,2,8.8,
3056417,83,3,-1.72789851289765,2,6.88,
5308146,88,3,-1.7854732545955,2,6.72,
1260374,72,3,-1.6406152677078,2,6.24,
8496023,74,3,-1.6632790711116,2,6.4,
6851203,79,3,-1.69851199947804,2,6.56,
6283704,75,3,-1.65772851656688,2,6.4,
9425807,78,3,-1.67950046369946,2,7.04,
1365094,80,3,-1.68997633111233,2,6.56,
2943061,76,3,-1.62679343380494,2,8.64,
3149850,72,3,-1.63277445340851,2,6.24,
5732806,75,3,-2.03103575014608,1,2.72,
2078916,75,1,-2.07543915694274,1,3.52,
6902314,75,3,-2.04599769338084,1,3.2,
9765234,75,3,-2.10426711710957,2,7.04,
4987650,75,1,-1.92131780377911,2,3.52,
6319528,75,1,-1.90071281716643,2,3.2,
9720165,75,1,-1.93352331962289,2,3.84,
9518437,75,3,-1.92946767820646,2,2.88,
9467830,73,3,-1.74321085435781,2,1.92,
1895642,84,3,-1.85214952660979,2,3.2,
4750928,81,3,-1.87696394585299,2,7.36,
5140362,83,3,-1.85384563707831,2,1.6,
7932580,88,3,-1.91561702174341,2,1.76,
8605217,72,3,-1.76020028575852,2,2.72,
8653417,74,3,-1.78451606168292,2,2.88,
8290476,79,3,-1.82231713046449,2,3.04,
2384019,75,3,-1.77856092528499,2,2.88,
6930741,78,3,-1.80191983722406,2,1.76,
4867502,80,3,-1.81315929425988,2,3.04,
9157643,76,3,-1.74537097357034,2,7.04,
9607438,72,3,-1.75178795177514,2,2.72,
4528069,73,2,-1.76548989122387,1,0.96,
1790246,84,2,-1.87582084983592,1,3.52,
8410523,81,2,-1.90095240877553,1,7.68,
3014689,83,2,-1.87753863737669,1,0.96,
7348562,88,2,-1.94009948876224,1,1.12,
6423907,72,2,-1.78269645537565,1,2.56,
1932047,74,2,-1.8073229981054,1,2.88,
9603748,79,2,-1.84560718194035,1,3.2,
3469512,75,2,-1.80129175232401,1,2.88,
2694380,78,2,-1.82494920190639,1,0.8,
5648371,80,2,-1.83633230437501,1,3.2,
5294037,76,2,-1.76767761775393,1,7.36,
5160827,72,2,-1.77417660789299,1,2.56,
4637091,84,2,-2.01352354604029,2,4.16,
3740286,81,1,-2.04049999513884,2,6.88,
5146839,83,2,-2.01536743516262,2,3.04,
4768210,88,2,-2.08252083487887,2,2.88,
2043178,79,1,-1.98109191392292,2,4.0,
1487932,80,1,-1.9711361740845,2,4.0,
3215784,73,2,-1.65437060737829,2,0.0,
8315042,84,2,-1.75775737607006,2,3.84,
3627410,81,2,-1.78130716394139,2,8.0,
1743698,83,2,-1.75936704669537,2,0.64,
4127693,88,2,-1.81799034112447,2,0.96,
9354761,72,2,-1.6704941967164,2,2.88,
