id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,hull_distance
72153046,45,88,14,1.852,0.271520914645437,
61927503,45,72,14,1.674,0.262954625331178,
45068793,45,74,14,1.698,0.252497249948616,
86192507,45,79,14,1.738,0.259993958960147,
48270965,45,75,14,1.692,0.261365561965106,
85709634,45,78,14,1.716,0.263570544455797,
17596823,45,80,14,1.728,0.261365561965106,
20694735,45,76,14,1.66,0.278121511168405,
67381945,45,72,14,1.666,0.253441304432607,
31286905,50,75,0,2.036,0.23160277792655,
67239801,59,75,0,2.084,0.224103641018935,
49670328,56,75,0,2.052,0.225986928334126,
82139740,51,75,14,2.116,0.227010205999232,
12304586,58,75,0,1.924,0.21943403815018,
61932785,55,75,0,1.904,0.21943403815018,
38549061,61,75,0,1.936,0.21990216824065,
62897034,53,75,0,1.932,0.228085323342676,
76402381,52,73,0,1.758,0.200159611154652,
26408915,52,84,0,1.872,0.178187175712809,
93270846,52,81,14,1.902,0.262937277792971,
67851930,52,83,0,1.874,0.18391049142992,
79648230,52,88,0,1.952,0.183016696114988,
20519736,52,72,0,1.774,0.2279288267092,
16943087,52,74,0,1.798,0.190716824855805,
12458390,52,79,0,1.838,0.178179966487409,
84036972,52,75,0,1.792,0.224103641018935,
95267031,52,78,0,1.816,0.178885438199983,
71204863,52,80,0,1.828,0.224103641018935,
85320746,52,76,14,1.76,0.258645214868096,
38702645,52,72,0,1.766,0.198687728150178,
34982675,47,73,0,1.778,0.220794403122398,
35280617,47,84,0,1.892,0.213150440681858,
95308671,47,81,14,1.922,0.266897594919487,
82609473,47,83,0,1.894,0.223249411608884,
58319420,47,88,0,1.972,0.22212213093825,
70264158,47,72,0,1.794,0.23969492120604,
16094873,47,74,0,1.818,0.215484846803291,
27159836,47,79,0,1.858,0.213576950562855,
47812905,47,75,0,1.812,0.236906211638506,
52948361,47,78,0,1.836,0.215864849236958,
40568932,47,80,0,1.848,0.236906211638506,
43208516,47,76,14,1.78,0.26343055108671,
97428650,47,72,0,1.786,0.219909966516167,
