id,ElementProperty|MagpieData minimum MendeleevNumber,ElementProperty|MagpieData maximum MendeleevNumber,ElementProperty|MagpieData range NfValence,ElementProperty|MagpieData mean Electronegativity,YangSolidSolution|Yang delta,ValenceOrbital|frac d valence electrons,ElementProperty|MagpieData avg_dev AtomicWeight,ElementProperty|MagpieData mean MendeleevNumber,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean CovalentRadius,ElementProperty|MagpieData avg_dev MendeleevNumber,ElementProperty|MagpieData maximum NdValence,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData mean NUnfilled,ElementProperty|MagpieData mean NdValence,ElementProperty|MagpieData avg_dev Electronegativity,ElementProperty|MagpieData avg_dev NValence,ElementProperty|MagpieData maximum NUnfilled,AtomicOrbitals|gap_AO,ElementProperty|MagpieData maximum CovalentRadius,ValenceOrbital|frac s valence electrons,ElementProperty|MagpieData range MendeleevNumber,ElementProperty|MagpieData maximum Electronegativity,ValenceOrbital|frac f valence electrons,ElementProperty|MagpieData minimum Electronegativity,ElementProperty|MagpieData maximum NValence,ElementProperty|MagpieData mean NdUnfilled,ElementProperty|MagpieData mode NUnfilled,ElementProperty|MagpieData maximum NdUnfilled,ElementProperty|MagpieData avg_dev NUnfilled,hull_distance
67198240,49,81,14,1.946,0.262909117334157,0.434782608695652,56.254864,64.6,0.67,118.4,12.48,10,2,5.2,4.0,0.2288,7.52,6,0.0,146,0.173913043478261,32,2.33,0.304347826086956,1.66,28,2.0,5,5,0.64,
82769514,49,83,0,1.918,0.17649185829694,0.434782608695652,16.54280608,65.0,0.53,110.6,12.8,5,3,5.0,2.0,0.2064,1.28,6,0.0,139,0.347826086956522,34,2.19,0.0,1.66,6,2.0,5,5,0.8,
57043269,49,88,0,1.996,0.17565566424556,0.416666666666667,16.579872,66.0,0.92,110.2,13.6,5,4,4.8,2.0,0.2688,1.44,6,0.0,139,0.333333333333333,39,2.58,0.0,1.66,6,2.0,5,5,1.12,
50129364,49,72,0,1.818,0.226472471692405,0.666666666666667,29.435232,62.4,0.38,118.0,10.72,10,6,4.4,4.0,0.1776,2.4,6,0.0,144,0.266666666666667,23,2.04,0.0,1.66,12,2.0,5,5,1.76,
25986740,49,74,0,1.842,0.186658751975725,0.645161290322581,22.605152,63.2,0.38,113.6,11.36,10,1,5.4,4.0,0.1584,2.72,6,0.0,139,0.258064516129032,25,2.04,0.0,1.66,13,2.0,5,5,0.48,
34105672,49,79,0,1.882,0.171719548408983,0.625,23.071872,64.2,0.38,113.2,12.16,10,2,5.2,4.0,0.1776,3.04,6,0.0,139,0.25,30,2.04,0.0,1.66,14,2.0,5,5,0.64,
78691503,49,75,0,1.836,0.222451146254413,0.645161290322581,29.820352,63.4,0.38,117.6,11.52,10,1,5.4,4.0,0.1632,2.72,6,0.0,142,0.258064516129032,26,2.04,0.0,1.66,13,2.0,5,5,0.48,
37419068,49,78,0,1.86,0.172044228070584,0.454545454545454,17.004928,64.0,0.38,111.4,12.0,5,2,5.2,2.0,0.16,1.28,6,0.0,139,0.363636363636364,29,2.04,0.0,1.66,6,2.0,5,5,0.64,
32714856,49,80,0,1.872,0.222451146254413,0.625,30.443072,64.4,0.38,117.0,12.32,10,2,5.2,4.0,0.1696,3.04,6,0.0,139,0.25,31,2.04,0.0,1.66,14,2.0,5,5,0.64,
83429561,55,84,0,1.984,0.15612386257877,0.594594594594595,24.668576,67.6,0.35,110.2,10.08,10,2,4.2,4.4,0.1232,3.52,5,0.0,132,0.27027027027027,29,2.18,0.0,1.83,15,1.6,4,4,0.64,
